regionId,Index,Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Aggregate,0,2005-01-01,100,100,100,100,100,100,266800,293000,240600,334000,212900,195800
Aggregate,1,2005-02-01,100.9,101,101.2,100.9,100.5,100.6,269200,295900,243400,337000,214000,197000
Aggregate,2,2005-03-01,101.9,102.2,102.4,102.1,101.1,101.4,271900,299400,246300,341000,215300,198500
Aggregate,3,2005-04-01,102.8,103.2,103.4,103,101.8,102.1,274300,302400,248700,344000,216800,199900
Aggregate,4,2005-05-01,103.7,104.1,104.6,103.6,102.6,103.2,276700,305000,251600,346000,218500,202100
Aggregate,5,2005-06-01,104.5,104.8,105.3,104.3,103.4,104.2,278900,307100,253300,348400,220200,204000
Aggregate,6,2005-07-01,105.1,105.3,106.1,104.6,104.2,105.1,280500,308500,255200,349400,221900,205800
Aggregate,7,2005-08-01,105.8,106,107.1,105.1,104.9,105.8,282300,310600,257600,351000,223400,207100
Aggregate,8,2005-09-01,106.6,106.7,107.9,105.7,105.7,107,284500,312600,259600,353000,225100,209500
Aggregate,9,2005-10-01,107.3,107.3,108.5,106.3,106.5,107.5,286300,314400,261000,355000,226800,210500
Aggregate,10,2005-11-01,107.7,107.7,109,106.6,107.1,108,287400,315500,262200,356000,228100,211500
Aggregate,11,2005-12-01,108.2,108,109.5,106.8,107.6,109,288700,316400,263400,356700,229100,213400
Aggregate,12,2006-01-01,109.6,109.5,111,108.3,108.9,110.2,292500,320800,267000,361700,231900,215800
Aggregate,13,2006-02-01,111.4,111.4,113.2,109.9,110.6,112,297300,326400,272300,367100,235500,219300
Aggregate,14,2006-03-01,113.5,113.5,115.7,111.9,112.7,113.7,302900,332500,278300,373700,240000,222600
Aggregate,15,2006-04-01,115.7,115.7,118.2,113.8,115.2,116,308700,339000,284300,380100,245300,227100
Aggregate,16,2006-05-01,118.2,118.1,121.2,115.8,118.2,118.4,315400,346000,291600,386800,251700,231800
Aggregate,17,2006-06-01,120.2,120,123.7,117.2,121.1,120.4,320800,351600,297600,391400,257900,235700
Aggregate,18,2006-07-01,121.6,121.2,125.4,117.9,123.3,122.2,324500,355100,301700,393800,262600,239300
Aggregate,19,2006-08-01,122.9,122.2,126.9,118.6,125.5,123.9,328000,358000,305300,396100,267200,242600
Aggregate,20,2006-09-01,124.1,123.1,127.8,119.4,127.5,125.7,331200,360700,307400,398800,271500,246100
